id,opis
1,"Badania przyrodnicze"
2,"Chemiczne podstawy ¿ycia"
3,"Komórka – podstawowa jednostka ¿ycia"
4,"Ró¿norodnoœæ wirusów, bakterii, protistów i grzybów"
5,"Ró¿norodnoœæ roœlin"
6,"Funkcjonowanie roœlin"
7,"Ró¿norodnoœæ bezkrêgowców"
8,"Ró¿norodnoœæ strunowców"
9,"Funkcjonowanie zwierz¹t"
10,"Metabolizm"
11,"Organizm cz³owieka. Skóra – pow³oka cia³a"
12,"Aparat ruchu"
13,"Uk³ad pokarmowy"
14,"Uk³ad oddechowy"
15,"Uk³ad kr¹¿enia"
16,"Obrona immunologiczna organizmu"
17,"Uk³ad wydalniczy"
18,"Uk³ad nerwowy"
19,"Narz¹dy zmys³ów"
20,"Uk³ad hormonalny"
21,"Rozmna¿anie i rozwój cz³owieka"
22,"Choroby a zdrowie cz³owieka"
23."Mechanizmy dziedziczenia"
24,"Biotechnologia molekularna"
25,"Ekologia"
26,"Ewolucja organizmów"